market,symbol,earliest_date,available_intervals,base_symbol
spot,HIGHUSDT,2021-12-17,"12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h",HIGH
spot,CVXUSDT,2021-12-23,"12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h",CVX
spot,PEOPLEUSDT,2021-12-23,"12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h",PEOPLE
spot,SPELLUSDT,2021-12-24,"12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h",SPELL
spot,JOEUSDT,2021-12-28,"12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h",JOE
spot,ACHUSDT,2022-01-10,"12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h",ACH
spot,IMXUSDT,2022-01-10,"12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h",IMX
spot,GLMRUSDT,2022-01-11,"12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h",GLMR
spot,LOKAUSDT,2022-01-20,"12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h",LOKA
spot,API3USDT,2022-01-21,"12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h",API3
spot,SCRTUSDT,2022-01-21,"12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h",SCRT
spot,WOOUSDT,2022-02-08,"12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h",WOO
spot,TUSDT,2022-02-25,"12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h",T
spot,ASTRUSDT,2022-02-28,"12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h",ASTR
spot,GMTUSDT,2022-03-09,"12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h",GMT
spot,KDAUSDT,2022-03-11,"12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h",KDA
spot,APEUSDT,2022-03-17,"12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h",APE
spot,BSWUSDT,2022-03-21,"12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h",BSW
spot,STEEMUSDT,2022-04-22,"12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h",STEEM
spot,REIUSDT,2022-05-04,"12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h",REI
spot,LDOUSDT,2022-05-09,"12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h",LDO
spot,OPUSDT,2022-06-01,"12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h",OP
spot,LEVERUSDT,2022-07-13,"12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h",LEVER
spot,STGUSDT,2022-08-19,"12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h",STG
spot,GMXUSDT,2022-10-05,"12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h",GMX
spot,POLYXUSDT,2022-10-17,"12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h",POLYX
spot,APTUSDT,2022-10-19,"12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h",APT
spot,HFTUSDT,2022-11-07,"12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h",HFT
spot,PHBUSDT,2022-11-18,"12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h",PHB
spot,HOOKUSDT,2022-12-01,"12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h",HOOK
spot,MAGICUSDT,2022-12-12,"12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h",MAGIC
spot,HIFIUSDT,2023-01-12,"12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h",HIFI
spot,RPLUSDT,2023-01-18,"12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h",RPL
spot,SYNUSDT,2023-02-22,"12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h",SYN
spot,SSVUSDT,2023-02-24,"12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h",SSV
spot,LQTYUSDT,2023-02-28,"12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h",LQTY
